Tamaño de la matriz,Número de Condición,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
16,673.611,25,6e-06,5.99278e-14,2.3e-05,2.25695e+35,2e-05,5.04814e+123,9e-06,2.25695e+35,9e-06,5.04814e+123
16,81.1064,25,5e-06,4.76551e-14,1.6e-05,4.51868e+45,1.3e-05,inf,5e-06,4.51868e+45,5e-06,inf
16,230.908,25,7e-06,5.4208e-14,2.9e-05,2.77063e+26,2.6e-05,2.24437e+91,1.3e-05,2.77063e+26,1.1e-05,2.24437e+91
16,140.113,25,7e-06,1.96535e-14,3.6e-05,2.00725e+33,1.9e-05,9.01251e+115,3.6e-05,2.00725e+33,2.3e-05,9.01251e+115
16,102.401,25,4e-06,3.06391e-14,1.7e-05,1.4646e+30,1.3e-05,5.42777e+81,5e-06,1.4646e+30,6e-06,5.42777e+81
16,315.86,25,5e-06,2.97339e-14,1.6e-05,3.1182e+15,1.2e-05,1.82813e+59,5e-06,3.1182e+15,5e-06,1.82813e+59
16,56.4419,25,4e-06,1.13549e-14,1.6e-05,1.90722e+26,1.3e-05,1.60013e+84,6e-06,1.90722e+26,6e-06,1.60013e+84
16,181.148,25,4e-06,0,1.6e-05,7.99339e+31,1.2e-05,8.57524e+128,5e-06,7.99339e+31,5e-06,8.57524e+128
16,133.423,25,4e-06,8.57817e-14,1.6e-05,1.63478e+19,1.3e-05,5.44317e+65,6e-06,1.63478e+19,5e-06,5.44317e+65
16,104.391,25,4e-06,2.38286e-15,1.6e-05,4.46091e+39,1.3e-05,1.2762e+105,5e-06,4.46091e+39,5e-06,1.2762e+105
16,349.489,25,5e-06,7.98546e-14,1.7e-05,6.05175e+27,1.3e-05,9.97282e+62,6e-06,6.05175e+27,5e-06,9.97282e+62
16,242.536,25,7e-06,1.57154e-14,2.6e-05,2.01707e+41,2.5e-05,2.3725e+134,1.3e-05,2.01707e+41,1.1e-05,2.3725e+134
16,69.6449,25,4e-06,4.88599e-14,1.6e-05,2.07308e+32,3.1e-05,1.04924e+116,1e-05,2.07308e+32,1.1e-05,1.04924e+116
16,168.99,25,5e-06,1.1336e-14,1.6e-05,3.51776e+27,1.3e-05,1.06165e+112,6e-06,3.51776e+27,5e-06,1.06165e+112
16,261.922,25,4e-06,9.91028e-14,1.6e-05,2.26906e+22,1.2e-05,1.10866e+103,5e-06,2.26906e+22,5e-06,1.10866e+103
16,101.506,25,5e-06,9.59813e-15,3e-05,3.503e+32,1.3e-05,inf,5e-06,3.503e+32,5e-06,inf
16,78.6267,25,2e-05,2.07846e-14,5e-05,5.29506e+40,3.3e-05,2.36103e+142,9e-06,5.29506e+40,1.2e-05,2.36103e+142
16,1063.04,25,4e-06,1.71749e-13,5.3e-05,1.11294e+33,4e-05,2.8202e+136,5e-06,1.11294e+33,5e-06,2.8202e+136
16,84.6878,25,4e-06,4.85847e-14,1.6e-05,2.28835e+25,1.2e-05,8.16451e+86,5e-06,2.28835e+25,5e-06,8.16451e+86
16,78.1828,25,8e-06,2.10791e-14,2.2e-05,6.16303e+23,1.4e-05,1.71785e+60,1.8e-05,6.16303e+23,5e-06,1.71785e+60
16,153.428,25,5e-06,4.15289e-14,1.6e-05,6.28249e+42,1.3e-05,2.76363e+136,6e-06,6.28249e+42,2e-05,2.76363e+136
16,215.128,25,5e-06,2.92762e-14,1.6e-05,2.42506e+30,1.2e-05,2.33725e+103,5e-06,2.42506e+30,5e-06,2.33725e+103
16,258.616,25,7e-06,3.65587e-14,3.8e-05,8.51052e+38,2.3e-05,8.47063e+89,9e-06,8.51052e+38,9e-06,8.47063e+89
